"Points:0","Points:1","Points:2"
-0.14068,-0.017316,-0.0085004
-0.14312,-0.0012721,-0.0013324
-0.14712,-0.013472,-0.030799
-0.1431,-0.053197,-0.017644
-0.14199,-0.052034,-0.022832
-0.1493,-0.020451,-0.029413
-0.14214,-0.023319,-0.0084392
-0.15167,-0.050454,-0.017903
-0.12905,-0.00064452,-0.00043207
-0.14811,-0.049287,-0.04647
-0.13375,-0.0011194,-0.00021852
-0.13692,-0.0086417,-0.039859
-0.13399,-0.052922,-0.036514
-0.13654,0.00041615,0.00053896
-0.13912,-0.013602,-0.0019109
-0.14767,0.00075889,0.0010431
-0.1187,-0.00063485,-0.015372
-0.13684,-0.017429,-0.0089891
-0.13299,0.00042523,-0.00095762
-0.15028,-0.0043728,-0.0082355
-0.1489,-0.044154,-0.021947
-0.14155,-0.01458,-0.00049033
-0.13321,-0.0059554,-0.063952
-0.1173,-0.012502,-0.001366
-0.13381,-0.0019179,-0.045996
-0.15061,-0.011363,-0.039988
-0.12905,-0.039523,-0.021625
-0.13333,0.0010993,-0.0004985
-0.12524,-0.012527,-0.028224
-0.14969,-0.00036485,-0.00045642
-0.1273,-0.030472,-0.056664
-0.14996,-0.027878,-9.0808e-05
-0.15323,-0.028818,0.00023109
-0.14625,-0.022118,-0.051736
-0.13775,-0.0026926,-0.016661
-0.14285,-0.055636,-0.036922
-0.14375,-0.023202,-0.0067465
-0.14064,-0.023013,-0.0036636
-0.14778,-0.042566,-0.055999
-0.14863,-0.027112,-0.024485
-0.13267,-0.0038995,-0.045416
-0.14482,-5.8072e-05,0.0010704
-0.14855,-0.01124,-0.0038817
-0.14418,-0.013761,-0.018723
-0.14255,-0.029136,-0.050829
-0.11549,-0.031873,-0.02549
-0.1507,-0.034332,-0.020514
-0.14911,-0.048469,-0.027982
-0.14672,-0.01605,-0.02682
-0.12942,-0.0086319,-0.0029992
-0.15002,-0.0094437,-0.025908
-0.1385,-0.028543,-0.017412
-0.15237,-0.01919,-0.048558
-0.15297,-0.036684,-0.031015
-0.14532,-0.011075,-0.012565
-0.14786,-0.0122,-0.012551
-0.12972,-0.054932,-0.0074904
-0.13082,-0.011938,-0.01925
-0.12552,-0.0377,-0.049229
-0.15291,-0.012335,-0.011275
-0.15246,-0.013388,-0.0048394
-0.13797,-0.006876,-0.009591
-0.13668,-0.023947,-0.063148
-0.11916,-0.021182,-0.024992
-0.15314,-0.04419,-0.0080917
-0.12704,-0.0033292,-0.006415
-0.15496,-0.062806,-0.020523
-0.14451,-0.020104,-0.0011349
-0.1075,-0.00068453,-0.00052665
-0.14806,-0.037464,-0.028505
-0.14334,-0.040444,-0.0008853
-0.13986,-0.024284,-0.03325
-0.14609,-0.019043,-0.012793
-0.14901,-0.0091269,-0.047781
-0.14935,0.00073447,0.0004587
-0.13584,-0.0080385,5.7408e-05
-0.13794,-0.0073953,-0.02482
-0.13892,-0.014,-0.035456
-0.14098,-0.0011368,-0.032346
-0.13625,-0.0063252,-0.0043415
-0.15609,-0.064067,-0.0061199
-0.15017,-0.01322,-0.032752
-0.11482,-0.030132,-0.0091149
-0.14815,-0.023957,-0.057921
-0.15062,-0.037338,-0.044734
-0.14731,-0.019677,-0.030918
-0.14125,-0.030983,-0.041912
-0.14445,-0.019637,-0.02247
-0.1335,-0.012531,-0.011431
-0.14664,-0.046713,-0.01408
-0.10602,-0.035744,-0.015577
-0.1153,-0.0013278,-0.0034658
-0.14851,-0.049043,-0.025113
-0.13515,-0.0049808,-0.015453
-0.1507,-0.023083,-0.053653
-0.15286,-0.0049154,-0.013504
-0.15011,-0.041098,-0.045469
-0.14724,-0.0034579,0.00072367
-0.15778,-0.019021,-0.067171
-0.15751,-0.067709,-0.010981
-0.14943,-0.033252,-0.057929
-0.15194,-0.038012,-0.0040877
-0.14802,-0.0035043,-0.01121
-0.14727,-0.00035646,-0.0030005
-0.15293,-0.026323,-0.032109
-0.11877,-0.0030673,-0.014492
-0.14658,-0.030188,-0.058544
-0.15866,-0.057407,-0.025853
-0.14121,-0.0048577,-0.0092017
-0.15225,-0.050059,-0.045651
-0.12644,-0.00034746,-0.0027464
-0.14874,-0.046674,-0.024737
-0.1426,-0.018767,-0.025191
-0.15641,-0.0091735,-0.023619
-0.15961,-0.06994,-0.0010073
-0.13834,-0.00030575,-0.062436
-0.14177,-0.033425,-0.023362
-0.1497,-0.0041014,-0.0074471
-0.15567,-0.019519,-0.013881
-0.15949,-0.061918,-0.025364
-0.15304,-0.057697,-0.0078277
-0.1267,-0.036339,-0.0018524
-0.15645,-0.018899,-0.019659
-0.14059,-0.0051961,-0.068167
-0.15362,-0.0010497,0.00073997
-0.14382,-0.01677,-0.039511
-0.1476,-0.010088,-0.0089094
-0.15458,-0.014498,-0.021854
-0.11871,-0.040406,-0.011135
-0.13091,-0.038004,-0.002816
-0.15225,-0.014146,-0.055277
-0.14372,-0.012415,-0.020207
-0.15599,-0.039949,-0.048211
-0.15147,-0.051956,-0.028433
-0.15817,-0.026607,-0.048325
-0.15521,-0.01273,-0.014108
-0.13171,0.00013959,-0.0027932
-0.13936,-0.034895,-0.024292
-0.14753,-0.060579,-0.012982
-0.15514,-0.011539,-0.00675
-0.15289,-0.064669,-0.018848
-0.14773,-0.0034855,-0.015556
-0.15941,-0.0065677,-0.061513
-0.1326,-0.0062113,-0.053158
-0.12564,-0.030958,-0.0012907
-0.15932,-0.054538,-0.018202
-0.15818,-0.048994,-0.010379
-0.15511,-0.027524,-0.035437
-0.15546,-0.020573,-0.0059047
-0.1394,-0.0025823,-0.010279
-0.14528,-0.04063,-0.00096937
-0.14694,-0.0011415,-0.0001915
-0.15449,-0.0045364,-0.015005
-0.16025,-0.067715,-0.021847
-0.15326,-0.072352,-0.0031473
-0.15062,-0.047294,-0.00041025
-0.13331,-0.013218,-0.0019943
-0.13308,-0.0073347,-0.015516
-0.15851,-0.022188,-0.014686
-0.14916,-0.0080835,-0.014573
-0.1169,-0.036259,-0.040156
-0.15275,-0.0049066,-0.027604
-0.15773,-0.026255,-0.0011372
-0.15542,-0.021674,-0.056258
-0.15448,-0.008723,9.9909e-05
-0.14319,-0.010218,-0.0098487
-0.1538,0.00076853,-0.020649
-0.14517,-0.045321,-0.053146
-0.13856,-0.010472,-0.02898
